frame,t_s,panel,host,area_m2,nu,cos_sun,sun_visible,e_direct_wm2,e_earth_wm2,e_other_wm2,e_total_wm2,p_w,e_earth_r_wm2,e_earth_g_wm2,e_earth_b_wm2
27,1710.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,1710.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,1710.000000,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,1773.333333,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,1773.333333,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,1773.333333,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,1836.666667,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,1836.666667,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,1836.666667,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,1900.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,1900.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,1900.000000,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,1963.333333,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,1963.333333,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,1963.333333,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,2026.666667,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,2026.666667,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,2026.666667,aft_cell,deputy,1.000000,0.000000,-1.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,2090.000000,wing_plus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,2090.000000,wing_minus_x,deputy,17.750000,0.000000,1.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
