# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
17540,42164,0,0,0,0,1.2790448392777
17550,42164,0,0,0,0,1.27977405526361
17560,42164,0,0,0,0,1.28050327124951
17570,42164,0,0,0,0,1.28123248723542
17580,42164,0,0,0,0,1.28196170322132
17590,42164,0,0,0,0,1.28269091920723
17600,42164,0,0,0,0,1.28342013519313
17610,42164,0,0,0,0,1.28414935117904
17620,42164,0,0,0,0,1.28487856716494
17630,42164,0,0,0,0,1.28560778315085
17640,42164,0,0,0,0,1.28633699913675
17650,42164,0,0,0,0,1.28706621512266
17660,42164,0,0,0,0,1.28779543110856
17670,42164,0,0,0,0,1.28852464709447
17680,42164,0,0,0,0,1.28925386308037
17690,42164,0,0,0,0,1.28998307906628
17700,42164,0,0,0,0,1.29071229505218
17710,42164,0,0,0,0,1.29144151103809
17720,42164,0,0,0,0,1.29217072702399
17730,42164,0,0,0,0,1.2928999430099
17740,42164,0,0,0,0,1.2936291589958
17750,42164,0,0,0,0,1.29435837498171
17760,42164,0,0,0,0,1.29508759096761
17770,42164,0,0,0,0,1.29581680695352
17780,42164,0,0,0,0,1.29654602293942
17790,42164,0,0,0,0,1.29727523892533
17800,42164,0,0,0,0,1.29800445491124
17810,42164,0,0,0,0,1.29873367089714
17820,42164,0,0,0,0,1.29946288688305
17830,42164,0,0,0,0,1.30019210286895
17840,42164,0,0,0,0,1.30092131885486
17850,42164,0,0,0,0,1.30165053484076
17860,42164,0,0,0,0,1.30237975082667
17870,42164,0,0,0,0,1.30310896681257
17880,42164,0,0,0,0,1.30383818279848
17890,42164,0,0,0,0,1.30456739878438
17900,42164,0,0,0,0,1.30529661477029
17910,42164,0,0,0,0,1.30602583075619
17920,42164,0,0,0,0,1.3067550467421
17930,42164,0,0,0,0,1.307484262728
17940,42164,0,0,0,0,1.30821347871391
17950,42164,0,0,0,0,1.30894269469981
17960,42164,0,0,0,0,1.30967191068572
17970,42164,0,0,0,0,1.31040112667162
17980,42164,0,0,0,0,1.31113034265753
17990,42164,0,0,0,0,1.31185955864343
18000,42164,0,0,0,0,1.31258877462934
18010,42164,0,0,0,0,1.31331799061524
18020,42164,0,0,0,0,1.31404720660115
18030,42164,0,0,0,0,1.31477642258705
18040,42164,0,0,0,0,1.31550563857296
18050,42164,0,0,0,0,1.31623485455886
18060,42164,0,0,0,0,1.31696407054477
18070,42164,0,0,0,0,1.31769328653068
18080,42164,0,0,0,0,1.31842250251658
18090,42164,0,0,0,0,1.31915171850249
18100,42164,0,0,0,0,1.31988093448839
18110,42164,0,0,0,0,1.3206101504743
18120,42164,0,0,0,0,1.3213393664602
18130,42164,0,0,0,0,1.32206858244611
18140,42164,0,0,0,0,1.32279779843201
18150,42164,0,0,0,0,1.32352701441792
18160,42164,0,0,0,0,1.32425623040382
18170,42164,0,0,0,0,1.32498544638973
18180,42164,0,0,0,0,1.32571466237563
18190,42164,0,0,0,0,1.32644387836154
18200,42164,0,0,0,0,1.32717309434744
18210,42164,0,0,0,0,1.32790231033335
18220,42164,0,0,0,0,1.32863152631925
18230,42164,0,0,0,0,1.32936074230516
18240,42164,0,0,0,0,1.33008995829106
18250,42164,0,0,0,0,1.33081917427697
18260,42164,0,0,0,0,1.33154839026287
18270,42164,0,0,0,0,1.33227760624878
18280,42164,0,0,0,0,1.33300682223468
18290,42164,0,0,0,0,1.33373603822059
18300,42164,0,0,0,0,1.33446525420649
18310,42164,0,0,0,0,1.3351944701924
18320,42164,0,0,0,0,1.33592368617831
18330,42164,0,0,0,0,1.33665290216421
18340,42164,0,0,0,0,1.33738211815012
18350,42164,0,0,0,0,1.33811133413602
