# Generated by matlabSample/mainHCW.m
# HCW relative motion (radial, along-track, cross-track) [km], identity attitude
time_s,x,y,z,qx,qy,qz,qw
69860,1.86348578788481,19.2795303149812,3.72697157576963,0,0,0,1
69870,1.86686868304618,19.2768100807491,3.73373736609238,0,0,0,1
69880,1.87025058548925,19.2740849135181,3.7405011709785,0,0,0,1
69890,1.8736314934157,19.2713548147373,3.74726298683142,0,0,0,1
69900,1.87701140502779,19.2686197858584,3.75402281005558,0,0,0,1
69910,1.88039031852825,19.2658798283357,3.76078063705651,0,0,0,1
69920,1.88376823212038,19.2631349436262,3.76753646424077,0,0,0,1
69930,1.88714514400797,19.2603851331895,3.77429028801596,0,0,0,1
69940,1.89052105239536,19.2576303984879,3.78104210479073,0,0,0,1
69950,1.8938959554875,19.254870740986,3.787791910975,0,0,0,1
69960,1.89726985149028,19.2521061621509,3.79453970298058,0,0,0,1
69970,1.90064273860952,19.2493366634528,3.80128547721904,0,0,0,1
69980,1.90401461505141,19.2465622463646,3.80802923010283,0,0,0,1
69990,1.90738547902275,19.2437829123616,3.8147709580455,0,0,0,1
70000,1.91075532873086,19.240998662922,3.82151065746173,0,0,0,1
70010,1.91412416238366,19.2382094995264,3.82824832476733,0,0,0,1
70020,1.9174919781896,19.2354154236582,3.83498395637921,0,0,0,1
70030,1.9208587743577,19.2326164368031,3.84171754871541,0,0,0,1
70040,1.92422454909755,19.2298125404496,3.84844909819511,0,0,0,1
70050,1.92758930061928,19.2270037360888,3.85517860123858,0,0,0,1
70060,1.93095302713361,19.2241900252144,3.86190605426722,0,0,0,1
70070,1.93431572685178,19.2213714093225,3.86863145370358,0,0,0,1
70080,1.93767739798564,19.2185478899121,3.87535479597128,0,0,0,1
70090,1.94103803874755,19.2157194684845,3.88207607749511,0,0,0,1
70100,1.94439764735047,19.2128861465439,3.88879529470095,0,0,0,1
70110,1.9477562220079,19.2100479255967,3.8955124440158,0,0,0,1
70120,1.9511137609339,19.2072048071524,3.90222752186781,0,0,0,1
70130,1.95447026234311,19.2043567927227,3.90894052468623,0,0,0,1
70140,1.9578257244507,19.201503883822,3.91565144890142,0,0,0,1
70150,1.96118014547244,19.1986460819673,3.92236029094488,0,0,0,1
70160,1.96453352362461,19.1957833886783,3.92906704724923,0,0,0,1
70170,1.9678858571241,19.1929158054772,3.9357717142482,0,0,0,1
70180,1.97123714418832,19.1900433338888,3.94247428837665,0,0,0,1
70190,1.97458738303528,19.1871659754406,3.94917476607056,0,0,0,1
70200,1.97793657188351,19.1842837316624,3.95587314376703,0,0,0,1
70210,1.98128470895213,19.181396604087,3.96256941790427,0,0,0,1
70220,1.98463179246081,19.1785045942494,3.96926358492164,0,0,0,1
70230,1.98797782062979,19.1756077036876,3.97595564125958,0,0,0,1
70240,1.99132279167984,19.172705933942,3.98264558335969,0,0,0,1
70250,1.99466670383233,19.1697992865554,3.98933340766467,0,0,0,1
70260,1.99800955530917,19.1668877630735,3.99601911061834,0,0,0,1
70270,2.00135134433282,19.1639713650444,4.00270268866565,0,0,0,1
70280,2.00469206912633,19.1610500940191,4.00938413825267,0,0,0,1
70290,2.00803172791328,19.1581239515507,4.01606345582658,0,0,0,1
70300,2.01137031891784,19.1551929391954,4.02274063783569,0,0,0,1
70310,2.01470784036472,19.1522570585116,4.02941568072944,0,0,0,1
70320,2.01804429047918,19.1493163110606,4.03608858095837,0,0,0,1
70330,2.02137966748718,19.146370698406,4.04275933497436,0,0,0,1
70340,2.02471396961565,19.1434202221136,4.0494279392313,0,0,0,1
70350,2.02804719509143,19.1404648837524,4.05609439018287,0,0,0,1
70360,2.03137934214184,19.1375046848943,4.06275868428368,0,0,0,1
70370,2.03471040899476,19.1345396271134,4.06942081798953,0,0,0,1
70380,2.0380403938787,19.1315697119865,4.07608078775741,0,0,0,1
70390,2.04136929502275,19.1285949410932,4.08273859004551,0,0,0,1
70400,2.04469711065661,19.1256153160154,4.08939422131322,0,0,0,1
70410,2.04802383901055,19.1226308383376,4.0960476780211,0,0,0,1
70420,2.05134947831546,19.119641509647,4.10269895663093,0,0,0,1
70430,2.05467402680283,19.1166473315331,4.10934805360567,0,0,0,1
70440,2.05799748270473,19.1136483055883,4.11599496540947,0,0,0,1
70450,2.06131984425383,19.1106444334073,4.12263968850767,0,0,0,1
70460,2.06464110968341,19.1076357165875,4.12928221936683,0,0,0,1
70470,2.06796127722733,19.1046221567288,4.13592255445466,0,0,0,1
70480,2.07128034512005,19.1016037554337,4.1425606902401,0,0,0,1
70490,2.07459831159664,19.0985805143073,4.14919662319328,0,0,0,1
70500,2.07791517489275,19.0955524349572,4.1558303497855,0,0,0,1
70510,2.08123093324463,19.0925195189935,4.16246186648927,0,0,0,1
70520,2.08454558488914,19.089481768029,4.16909116977829,0,0,0,1
70530,2.08785912806372,19.0864391836791,4.17571825612746,0,0,0,1
70540,2.09117156100642,19.0833917675616,4.18234312201286,0,0,0,1
70550,2.09448288195588,19.0803395212969,4.18896576391176,0,0,0,1
70560,2.09779308915133,19.0772824465081,4.19558617830266,0,0,0,1
70570,2.1011021808326,19.0742205448207,4.20220436166521,0,0,0,1
70580,2.10441015524013,19.0711538178628,4.20882031048027,0,0,0,1
70590,2.10771701061494,19.0680822672652,4.21543402122989,0,0,0,1
70600,2.11102274519866,19.0650058946611,4.22204549039733,0,0,0,1
70610,2.1143273572335,19.0619247016863,4.22865471446701,0,0,0,1
70620,2.11763084496229,19.0588386899793,4.23526168992458,0,0,0,1
70630,2.12093320662843,19.055747861181,4.24186641325686,0,0,0,1
70640,2.12423444047593,19.0526522169349,4.24846888095187,0,0,0,1
70650,2.12753454474941,19.0495517588871,4.25506908949883,0,0,0,1
70660,2.13083351769406,19.0464464886862,4.26166703538813,0,0,0,1
70670,2.13413135755569,19.0433364079835,4.26826271511138,0,0,0,1
70680,2.13742806258068,19.0402215184327,4.27485612516137,0,0,0,1
70690,2.14072363101604,19.0371018216902,4.28144726203209,0,0,0,1
70700,2.14401806110935,19.0339773194149,4.28803612221871,0,0,0,1
70710,2.1473113511088,19.0308480132682,4.29462270221761,0,0,0,1
70720,2.15060349926352,19.0277139049139,4.30120699852705,0,0,0,1
70730,2.15389450382323,19.0245749960181,4.30778900764647,0,0,0,1
70740,2.15718436303768,19.0214312882503,4.31436872607536,0,0,0,1
70750,2.16047307515722,19.0182827832822,4.32094615031445,0,0,0,1
70760,2.16376063843287,19.0151294827884,4.32752127686575,0,0,0,1
70770,2.16704705111626,19.0119713884457,4.33409410223253,0,0,0,1
70780,2.17033231145966,19.0088085019337,4.34066462291932,0,0,0,1
70790,2.17361641771596,19.0056408249344,4.34723283543194,0,0,0,1
70800,2.17689936813871,19.0024683591322,4.35379873627743,0,0,0,1
