time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad,q1,q2,q3,q4
34,6787.71258395288,0.000590839211435085,1.69349746182163,6.28035428648053,6.37489480463443,-0.0544867885688428,0.00964327645673518,0.416456062459947,0.757288335849754,-0.502976869891097
35,6787.71091149994,0.000590682281380324,1.69349746299622,6.28035428652532,6.37764107630622,-0.0561027537445029,-0.0109069380443449,0.377231505873457,0.745810931747981,-0.548947614772256
36,6787.70918998331,0.000590520735335579,1.69349746461156,6.28035428658873,6.380388515425,-0.0577198864214839,-0.0298035211080289,0.335469223472037,0.731642500232904,-0.592681535131286
37,6787.70741940514,0.000590354575225002,1.69349746666738,6.28035428667178,6.38313715578674,-0.0593382203972973,-0.046838848114579,0.291455383168125,0.714734721276005,-0.634045865953034
38,6787.70559976974,0.000590183803349699,1.69349746916326,6.28035428677543,6.38588703155358,-0.0609577898356311,-0.0618256031721489,0.245499955141378,0.695046592026067,-0.672917232452053
39,6787.70373108363,0.000590008422389113,1.6934974720988,6.28035428690069,6.38863817718511,-0.0625786291976326,-0.0745989529879245,0.197935210343464,0.672545681138204,-0.70918189169052
40,6787.70181335579,0.000589828435441182,1.69349747547362,6.28035428704854,6.39139062737295,-0.064200773176457,-0.0850186728977488,0.149113971939335,0.647209470910608,-0.742735989026243
41,6787.69984659748,0.000589643845989193,1.69349747928739,6.28035428721996,6.39414441694762,-0.0658242566041977,-0.0929712023069104,0.099407590355928,0.619026777626473,-0.773485833808623
42,6787.69783082174,0.00058945465782734,1.69349748353988,6.28035428741595,6.39689958078755,-0.067449114360806,-0.098371600226613,0.0492036128906703,0.587999235310297,-0.801348196492552
43,6787.69576604272,0.00058926087496119,1.69349748823095,6.2803542876375,6.39965615374852,-0.0690753813036242,-0.10116536428589,-0.00109687858325471,0.554142822432303,-0.826250626791313
44,6787.69365227503,0.000589062501501859,1.69349749336051,6.28035428788561,6.40241417062695,-0.0707030922306157,-0.101330069426392,-0.0510822835854672,0.517489405251409,-0.848131789751027
